x,y,psi,v_ref,s
2.875421,-1.071709,2.275854,1.500000,11.826624
2.856909,-1.049495,2.255254,1.500000,11.855540
2.838789,-1.026821,2.234807,1.500000,11.884566
2.821069,-1.003696,2.214513,1.500000,11.913699
2.803756,-0.980131,2.194367,1.500000,11.942940
2.786858,-0.956136,2.174368,1.500000,11.972288
2.770383,-0.931722,2.154512,1.500000,12.001741
2.754338,-0.906899,2.134795,1.500000,12.031299
2.738729,-0.881678,2.115215,1.500000,12.060959
2.723563,-0.856070,2.095768,1.500000,12.090720
2.708848,-0.830087,2.076449,1.500000,12.120580
2.694590,-0.803740,2.057256,1.500000,12.150538
2.680795,-0.777041,2.038185,1.500000,12.180591
2.667468,-0.750000,2.019230,1.500000,12.210737
2.654617,-0.722631,2.000390,1.500000,12.240974
2.642246,-0.694944,1.981658,1.500000,12.271299
2.630360,-0.666953,1.963032,1.500000,12.301709
2.618966,-0.638669,1.944506,1.500000,12.332201
2.608068,-0.610105,1.926077,1.500000,12.362774
2.597671,-0.581273,1.907739,1.500000,12.393423
2.587779,-0.552187,1.889490,1.500000,12.424145
2.578398,-0.522858,1.871323,1.500000,12.454938
2.569530,-0.493300,1.853236,1.500000,12.485798
2.561179,-0.463525,1.835222,1.500000,12.516721
2.553351,-0.433548,1.817279,1.500000,12.547704
2.546047,-0.403380,1.799400,1.500000,12.578744
2.539271,-0.373035,1.781582,1.500000,12.609836
2.533026,-0.342526,1.763819,1.500000,12.640977
2.527315,-0.311868,1.746108,1.500000,12.672163
2.522141,-0.281072,1.728444,1.500000,12.703390
2.517505,-0.250153,1.710822,1.500000,12.734655
2.513410,-0.219125,1.693237,1.500000,12.765952
2.509857,-0.188000,1.675684,1.500000,12.797279
2.506848,-0.156793,1.658160,1.500000,12.828631
2.504384,-0.125517,1.640659,1.500000,12.860004
2.502467,-0.094186,1.623177,1.500000,12.891394
2.501096,-0.062813,1.605709,1.500000,12.922796
2.500274,-0.031414,1.588250,1.500000,12.954206
2.500000,0.000000,1.570796,1.500000,12.985621
2.499726,0.031414,1.588250,1.500000,13.017036
2.498904,0.062813,1.605709,1.500000,13.048447
2.497533,0.094186,1.623177,1.500000,13.079849
2.495616,0.125517,1.640659,1.500000,13.111238
2.493152,0.156793,1.658160,1.500000,13.142611
2.490143,0.188000,1.675684,1.500000,13.173963
2.486590,0.219125,1.693237,1.500000,13.205290
2.482495,0.250153,1.710822,1.500000,13.236588
2.477859,0.281072,1.728444,1.500000,13.267852
2.472685,0.311868,1.746108,1.500000,13.299079
2.466974,0.342526,1.763819,1.500000,13.330265
2.460729,0.373035,1.781582,1.500000,13.361407
2.453953,0.403380,1.799400,1.500000,13.392499
2.446649,0.433548,1.817279,1.500000,13.423538
2.438821,0.463525,1.835222,1.500000,13.454521
2.430470,0.493300,1.853236,1.500000,13.485445
2.421602,0.522858,1.871323,1.500000,13.516304
2.412221,0.552187,1.889490,1.500000,13.547097
2.402329,0.581273,1.907739,1.500000,13.577820
2.391932,0.610105,1.926077,1.500000,13.608469
2.381034,0.638669,1.944506,1.500000,13.639041
2.369640,0.666953,1.963032,1.500000,13.669534
2.357754,0.694944,1.981658,1.500000,13.699944
2.345383,0.722631,2.000390,1.500000,13.730268
2.332532,0.750000,2.019230,1.500000,13.760505
2.319205,0.777041,2.038185,1.500000,13.790651
2.305410,0.803740,2.057256,1.500000,13.820704
2.291152,0.830087,2.076449,1.500000,13.850662
2.276437,0.856070,2.095768,1.500000,13.880522
2.261271,0.881678,2.115215,1.500000,13.910284
2.245662,0.906899,2.134795,1.500000,13.939944
2.229617,0.931722,2.154512,1.500000,13.969501
2.213142,0.956136,2.174368,1.500000,13.998954
2.196244,0.980131,2.194367,1.500000,14.028302
2.178931,1.003696,2.214513,1.500000,14.057543
2.161211,1.026821,2.234807,1.500000,14.086677
2.143091,1.049495,2.255254,1.500000,14.115702
2.124579,1.071709,2.275854,1.500000,14.144618
2.105684,1.093453,2.296612,1.500000,14.173425
2.086413,1.114717,2.317528,1.500000,14.202122
2.066776,1.135493,2.338605,1.500000,14.230709
2.046780,1.155770,2.359845,1.500000,14.259188
2.026435,1.175540,2.381248,1.500000,14.287556
2.005749,1.194795,2.402816,1.500000,14.315817
1.984732,1.213525,2.424549,1.500000,14.343969
1.963392,1.231724,2.446448,1.500000,14.372015
1.941739,1.249382,2.468514,1.500000,14.399955
1.919783,1.266492,2.490745,1.500000,14.427790
1.897534,1.283046,2.513141,1.500000,14.455523
1.875000,1.299038,2.535702,1.500000,14.483155
1.852192,1.314460,2.558425,1.500000,14.510687
1.829120,1.329305,2.581309,1.500000,14.538123
1.805794,1.343568,2.604352,1.500000,14.565463
1.782224,1.357241,2.627551,1.500000,14.592712
1.758421,1.370318,2.650903,1.500000,14.619871
1.734394,1.382795,2.674404,1.500000,14.646944
1.710156,1.394665,2.698052,1.500000,14.673933
